id,Library,month,text,num of likes,num of comments,num of shares,image,Video,shared,outgoing link
2825,333,9,The Friends of the Hearst Free Library 10th Annual Reading the Greens golf scramble will be held on September 12th. Even if you don't golf you can still support the Friends by attending the reception following the tournament! Tickets are $5/person for those who are not golfing.,3,0,0,1,0,0,0
2826,333,8,Lego club is tomorrow at 3:30!,3,1,0,0,0,0,0
2827,333,8,"A big thank you to everyone who participated in Summer Reading! We hope you had fun, we know we did!",0,0,0,0,0,0,0
2828,333,8,Summer Reading.,3,0,0,1,0,0,0
2829,333,8,Summer Reading.,3,0,0,1,0,0,0
2830,333,8,Summer Reading.,3,0,0,1,0,0,0
2831,333,7,Summer Reading! Tomorrow (July 23rd) @ 10:30 AM!,1,0,0,0,0,0,0
2832,333,7,LEGO club is tomorrow (July 22nd @ 3:30 PM)!,0,0,0,0,0,0,0
2833,333,7,"Harper Lee fans, today is the official release date for Go Set a Watchman! Place your hold today! (P.S. it is also available on montanalibrary2go.org) Harper Lee＊s new novel: read the first chapter",0,0,0,1,0,1,1
2834,333,7,"Our first Summer Reading Program will be this Thursday, July 16th @ 10:30 AM. There will be stories, crafts, snacks and lots of fun!",1,0,0,0,0,0,0
2835,333,7,"We are excited to announce we will be having Summer Reading! The first program will be on Thursday, July 16th. More details coming soon!",2,0,1,0,0,0,0
2836,333,7,Amazing Lego Creations!,18,2,0,1,0,0,0
2085,303,10,Today's the day! Follow the balloons for your all access pass to all of the ?#?GrandAveArts?! For a full list of events bit.ly/GrandArts,20,1,1,1,0,0,1
2086,303,10,"More than just books! October 22, 2015 ﹞ City Library John Szabo and Councilmember Mitch O'Farrell stopped by our Edendale Branch Library-Los Angeles Public Library yesterday to show off our brand new library trucks! Make sure you wave when you see them making their rounds!",63,1,3,1,0,0,0
2087,303,10,Thank you to everyone who stopped by and said hello to us! We made a lot of new friends and took some epic selfies along the way. See you next time LA!,71,1,4,1,0,0,0
2088,303,10,Our Tech TryOut cart got a makeover! Come get hands-on experience and advice with e-media every Tuesday from 11:30am to 1:30pm at Central Library http://lapl.me/suKCLzo,10,1,0,1,0,0,1
2089,303,10,"Writer, director and activist Josefina L車pez〞playwright and co-screenwriter of Real Women Have Curves〞shares what being Latina in Los Angeles means to her.",30,2,17,0,1,0,0
119,303,922,Library staff shows off the ?#?BestCardinLA?! www.lapl.org/card www.lapl.org/tarjeta,99,6,4,1,0,0,0
120,303,919,"Our wonderful STEAM powered staff members ?#?standwithAhmed?. Stay tuned for new STEAM workshops, including clock-making, at a branch near you. For more information on our STEAM workshops visit http://www.lapl.org/steam",85,5,3,1,0,0,0
121,303,916,Los Angeles Poet Laureate Luis J. Rodriguez shares what being Chicano means to him.,41,2,13,0,1,0,0
122,303,908,Library staff shows off the ?#?BestCardinLA?! www.lapl.org/card www.lapl.org/tarjeta,99,6,4,1,0,0,0
123,303,904,,139,5,26,1,0,0,0
124,303,903,Now you can take Lynda.com classes at no cost with your library card! Start learning at http://lapl.me/kJQ5NcS,37,1,11,1,0,0,1
125,303,830,?#?LibraryLaughs?,209,9,82,1,0,0,0
126,303,825,"The Rabbit Who Wants to Fall Asleep, a bedtime story by Swedish author Carl-Johan Forss谷n Ehrlin, is the first self-published book to top the Amazon charts. The book promises to make kids fall asleep in minutes. If you would like to put it to the test (as",43,3,19,0,1,0,0
127,303,824,"One of Latin America's most influential writers, Argentine author Jorge Luis Borges was born on this day in 1899 lapl.org/borges",96,3,14,1,0,0,0
128,303,820,"LA PLays is learning-based play kit collection available at the Panorama City Branch of Los Angeles Public Library. The play kits include toys, books and suggested activities that parents can do with their kids. Check them out!",20,1,3,0,1,0,0
129,303,818,"L.A.U.S.D students, start the school year off right! Here are 5 free and easy ways to get great homework help at the library.",62,1,50,0,1,0,0
130,303,811,"Music, dancing, and more summer fun at the Children's Literature Department!",22,0,2,0,1,0,0
131,303,807,?#?GoSetAWatchman? is currently the most popular fiction title in our collection. Reserve your copy at lapl.org/gosetawatchman,21,0,1,1,0,0,0
132,303,805,Great digital magazines for kids! Free and unlimited access with your library card lapl.org/magazines,10,0,1,1,0,0,0
133,303,805,Story Time with the LA Kings,15,0,1,1,0,0,0
134,303,724,The Special Olympics World Games Los Angeles 2015 Law Enforcement Torch Run and ABC7 Alysha Del Valle made a special stop in Downtown LA this morning! ?#?ReachUpLA? ?#?LA2015?,19,0,0,1,0,0,0
135,303,709,"#?ThrowbackThursday? ※The gables and cupolas of Bunker Hill's stately mansions are caught on paper by Leo Politi (whose sketch is at left) and Susan Marshall, 9. Admiring their work is county librarian Mrs. Mary Rogers Smith.§ Photo dated May",22,3,0,1,0,0,0
136,303,704,We are almost at the end of our women's ?#?LiteraryWorldCup?! Which author will take home third place Karen Duve of Germany or J.K.Rowling of England?,23,1,0,1,0,0,0
137,303,701,?#?LiteraryWorldCup? Last up for the semi-finals is Asa Nonami of Japan vs Jeanette Winterson of England,16,1,0,1,0,0,0
2076,302,10,"Look at all those shiny Newbery award stickers! Three children＊s book authors we adore will be at the Central Library on Monday (10/19) at 6 p.m. Meet Rebecca Stead, Gennifer Choldenko and Jennifer L. Holm 每 ALL IN ONE PLACE, and with their Newbery books, newest books, and all the fantastic books in between. Free and open to the public; doors open at 5:30 p.m. Details: http://post.spl.org/1OLHKEl",20,2,3,1,0,0,0
2077,302,10,"A favorite recent addition to our Digital Collections is this October 1943 shot of Navy lighter YC-842 being christened at Olsen & Winge Marine Works on the Lake Washington Ship Canal. Extra points to anyone who can spot Mr. ""Veronica Bilgewater"" in the photo. See this and other historical photos in our online collection here: http://post.spl.org/1OsjBE6",7,0,2,1,0,0,1
2078,302,10,,117,0,13,1,0,0,0
2079,302,10,"Great ?#?BlueFriday? news: We're extending our Seahawks library cards through Oct. 16! Come to any Library location to get yours, while supplies last.",43,3,0,1,0,0,0
65,302,929,"If you loved The Martian, we've got some suggestions for your next read! Check 'em out before the film adaptation comes out this Friday.",19,1,1,1,0,0,0
66,302,917,Happy first day of school to students heading back today! This image from our digital collections shows students posing in front of the newly constructed South School (located in today's International District) on their first day in September 1889.,187,6,19,1,0,0,0
67,302,915,"Today in 1914, the Yesler Library Branch (now known as the Douglass-Truth) opened. By March the branch was one of our most popular, lending 71,264 books within its first six months. (For more, check out this issue of the Municipal News from our Digital Co",32,2,0,1,0,0,0
68,302,908,"Anthony Bourdain selected him for The Taste. Kanye West hired him as a personal chef. Kids in Seattle's Hillman City neighborhood are learning to cook with him 每 and now you can meet Tarik Abdullah, a DJ and a cook! He'll be at ""ultivating Readers: Celebo",76,0,13,1,0,0,0
69,302,908,"Ayla couldn't wait to try out (and taste) her new tote bag from our Wallingford Branch! Her ""My First Library Card"" tote is a perfect fit.",123,2,0,1,0,0,0
70,302,824,We're celebrating back to school at our Douglass-Truth branch with fictional school pennants made by teen librarian Shannon. Can you identify where these schools are from?,109,6,0,1,0,0,0
71,302,821,"We're thrilled about the response to Book Bingo, especially this entry from Library patron Heather who, after completing her entire card, took three additional days to illustrate it! WOW! We love this! Check it out, Seattle Arts & Lectures. What has been",263,12,60,1,0,0,0
72,302,818,The Seattle Public Library added 32 new photos to the album: Legendary Children 〞 at Seattle Art Museum.,114,6,12,1,0,0,0
73,302,817,The Seattle Public Library added 38 new photos from August to the album: Legendary Children 〞 with C Davida Ingram and Luzviminda U. Carpenter at Seattle Art Museum.,114,6,12,1,0,0,0
74,302,814,Families were drawn into our Wallingford Branch's magnetic Summer of Learning program the other day. The Force is strong in this one!,40,1,2,1,0,0,0
75,302,811,"It was all about the music, smiles and creativity at our 1st Pop-Up on the Plaza! The Central Library played host to live music featuring Love City Love and an open mic, a chance to Ask An Architect and youth videos on our 4th Avenue plaza. Join us every",84,0,1,1,0,0,0
76,302,806,"It was all about the music, smiles and creativity at our 1st Pop-Up on the Plaza! The Central Library played host to live music featuring Love City Love and an open mic, a chance to Ask An Architect and youth videos on our 4th Avenue plaza. Join us every",84,0,1,1,0,0,0
77,302,801,Happy Washington Trails Day! Here's a map of a popular spot in the Mt. Baker-Snoqualmie National Forest. Find hiking guides in our catalog: https://goo.gl/7uJEpV,17,0,1,1,0,0,0
78,302,728,"Happy birthday to beloved children's author Beatrix Potter, born ?#?OTD? in 1866. More Beatrix Potter in our catalog: http://post.spl.org/1OwYm08",138,3,13,1,0,0,0
79,302,728,Performance artist Okanomod谷 will be in the house at Legendary Children. Don't forget to get your free tickets now! (Photograph by Jason Tang),13,1,1,0,0,0,0
80,302,716,"This print by W. Faliduff was created for the Public Works of Art Project for Washington State during the Great Depression. Part of our digitized Northwest Art Collection, available here: http://post.spl.org/1AOGNmY",282,5,14,1,0,0,0
81,302,715,We're revisiting the classics @mywallingford! What book brings it all back for you? ?#?wallingfordwednesdays? ?#?jamonit? ?#?puppylove? ?#?littlemonsters?,28,2,2,1,0,0,0
82,302,702,"Here is the first line from the book Gabriela Scherrer will bring to life at this year's Banned! Books in Drag on 9/26: ""The boy's name was Santiago."" Do you know what book this is?",16,2,0,1,0,0,0
83,302,701,What are you reading for Summer Book Bingo? We'd love to get ideas to share!,50,22,15,1,0,0,0
88,302,701,What are you reading for Summer Book Bingo? We'd love to get ideas to share!,50,22,15,1,0,0,0
39,301,929,Healthy Sleep Class Thu 6:30 PM ﹞ U.S.S. Liberty Memorial Public Library ﹞,2,0,0,1,0,0,0
40,301,922,Check out a free movie showing tomorrow night at 5:30 p.m. Follow the link for more information including the titles of all of our upcoming movie showings.,0,0,0,0,0,0,0
41,301,921,"Need some quick tech help? Stop by during Tech Time tomorrow, Tuesday, September 22 from 6:30 p.m. to 7:30 p.m. Need help attaching a document to your email? Having trouble with a word document? Can＊t find something online? Stop by and get the help you ne",0,0,0,1,0,0,0
42,301,918,What is Reiki? Mon 6:30 PM ﹞ U.S.S. Liberty Memorial Public Library,0,0,0,0,0,0,0
43,301,917,It's A Pirate Storytime Sat 11 AM ﹞ U.S.S. Liberty Memorial Public Library ﹞,0,0,0,1,0,0,0
44,301,916,"The Ozaukee Humane Society and the Grafton Public Library have partnered to create a place where children with reading difficulties get an opportunity to read aloud to a supportive, non-judgmental listener 每 a certified companion dog with the Read to Rove",1,0,0,1,0,0,0
45,301,915,"Don't miss Technology Club tomorrow night at 6:30 p.m. Join area technology enthusiasts to collaborate and learn about computers, electronics, coding, and more!",0,0,0,1,0,0,0
46,301,914,"We still have openings for our first fall session of Babygarten! It begins tomorrow Tuesday, September 15th at 11:30 a.m. To register please follow the link below or call the library at (262) 375-5315.",0,0,0,1,0,0,0
47,301,904,"The U.S.S. Liberty Memorial Public Library will be closed this Saturday, September 5th and Monday, September 7th in observance of Labor Day.",0,0,0,1,0,0,0
48,301,903,Reminder that the Optimizers Non-Fiction Book Club meets tomorrow for a Pot Luck Discussion at 12:30 p.m. The Topic will be: Regaining Vital Health through Nutrition: The Paleo Diet. Follow the link for more information.,0,0,0,1,0,0,0
49,301,902,"The Grafton Public Library's Weekday Storytimes will begin Monday, September 14th! We offer storytimes Monday through Thursday for children of varying ages. Visit our website for information on specific storytimes.",1,0,0,1,0,0,0
50,301,826,Tomorrow is our last Summer Storytime at the Grafton Farmers' Market! Come see us at 10:30 a.m. in the Grafton High School parking lot.,0,0,0,1,0,0,0
51,301,824,"Need help attaching a document to your email? Having trouble with a word document? Can＊t find something online? Need any other quick tech help? Stop by the library during Tech Time tomorrow, Tuesday, August 25 from 6:30 p.m. to 7:30 pm. and get the help",0,0,0,0,0,0,0
52,301,822,"Join us Wednesday, August 26 @ 5:30 p.m. at the library, where we will be showing the film The Second Best Exotic Marigold Hotel.",0,0,0,0,0,0,0
53,301,811,Our summer weekly storytimes may be over but we still have a special storytime on Thursdays through the end of August! Join us at the Farmers' Market for Storytime this Thursday at 10:30 a.m. The Farmers' Market starts at 10:00 a.m. and runs until 6:00 p,0,0,0,1,0,0,0
54,301,806,"Congratulations to all of our Summer Reading Super Readers! Today is the last day to turn in reading logs. A reminder to everyone who finished the Summer Reading Program and received Pool Party passes that the Pool Party will take place this Saturday, Aug",0,0,0,0,0,0,0
55,301,805,Attention Summer Readers! Today is the last day to turn in your reading logs at the library. We are here until 8:00 tonight and look forward to seeing you.,0,0,0,1,0,0,0
56,301,804,"The Library will be at Ladies Night Out tonight. Stop by our booth for a chance to win prizes, find out more information about library events, and more!",0,0,0,0,0,0,0
57,301,803,"Another reminder to turn in your reading logs by Wednesday, August 5. Don't miss your chance at prizes, Party Passes, and the rewarding feeling after all of that hard work!",0,0,0,0,0,0,0
58,301,730,Reminder: Calling all Teens to Be a Hero by helping us create reading carpets for elementary school students. Today at 2:00 p.m.,0,0,0,0,0,0,0
59,301,729,Join us at the Farmers' Market for Storytime tomorrow at 10:30 a.m. The Farmers' Market starts at 10:00 a.m. and runs until 6:00 p.m. It is located in the Grafton High School Parking Lot. Hope to see you there!,1,0,0,1,0,0,0
60,301,727,"Do you enjoy making forts and/or camping? This event is for you! Join us for a Library Campout on Friday, July 31st at 5:30 p.m.",2,0,0,1,0,0,0
61,301,725,"Do you want to be a hero? Calling all teens to help us create a reading carpet to encourage local elementary students to read. Thursday, July 30 at 2:00 p.m.",4,0,0,1,0,0,0
62,301,708,Join us for Touch a Truck tomorrow morning from 10:00-11:00 AM in the Grafton Public Library parking lot! Children ages five to eleven will have the opportunity to sit in and get an up-close look at a variety of trucks and emergency vehicles. The North e,0,0,0,1,0,0,0
63,301,702,"The Library will be closed tomorrow, Friday, July 3rd and Saturday, July 4th in observance of Independence Day. Due dates of materials will reflect this closure and our outdoor book drop is always open.",0,0,0,1,0,0,0
64,301,701,We added a new clue to Grafton Clue Quest!,0,0,0,0,0,0,0
178,301,10,"Catch a new release movie tomorrow at 5:30 p.m. For a schedule of our showings, follow the link. The Grafton Public Library invites you to attend free movie showings. Movies will be shown in the lower level meeting room. Food and beverages are permitted d",0,0,0,0,0,0,0
179,301,10,"Bring one or bring many nonperishable food items to the Grafton Library between October 19 and October 31, and the library will forgive your Grafton fines. This annual program applies to ※Grafton-only§ fines up to $5.00. You benefit by paying down your fi",0,0,0,1,0,0,0
180,301,10,"The Big Fall Book Sale will start in less than an hour at 4:00 PM! Hardcovers, paperbacks, movies, music, and more for both adults and children. All for sale at low, low prices. Sale hours are: Thursday, October 15 from 4:00 p.m. 每 7:30 p.m., Friday, Octo",0,0,0,0,0,0,0
181,301,10,"Did you ever want to learn how to write, format, and publish your own book? Come learn how at this month's Tech Tuesday class on Tuesday, October 13 at 6:30 p.m. You will learn all about Scrivener, a word-processing software that helps you compose and pub",0,0,0,0,0,0,0
182,301,10,"Check out our newest addition to the library - a Makerspace! A Makerspace is a place where people can gather to share resources and knowledge, work on projects, network, and build. Learn about and use technology in a comfortable environment. For more info",1,0,0,0,0,0,1
8,300,929,"Celebrate Harvest Fest at Central Library this Saturday, October 3 from 10 a.m.-1 p.m. FREE entertainment for the entire family. Face painting, cookie decorating, free pumpkins to decorate and more! Visit www.mpl.org for more details!",265,12,125,1,0,0,0
9,300,918,"Look who stopped by the Milwaukee Public Library - East Branch today, Around the Corner with John McGivern!",20,1,0,1,0,0,0
10,300,914,"What's cooler than being cool? Having a library card! Congrats to all the students at Bruce Guadalupe Community School on getting a library card today. Mayor Tom Barrett, Library Director Paula Kiely, and United Community Center's Executive Director Ricar",58,1,2,1,0,0,0
11,300,914,"Today, Mayor Tom Barrett and United Community Center Executive Director, Ricardo Diaz, will present library cards to every 7th grader. Every student at Bruce Guadalupe Community School will receive a library card under the ConnectEd Library Challenge and",34,1,0,1,0,0,0
12,300,908,"Now thru Sunday, Sept. 13, explore twenty-plus works by Carl Spitzweg, best known as 19th century Germany's own Norman Rockwell. This one-of-a-kind exhibition displayed in an entirely new gallery at the Grohmann Museum includes such masterpieces as Spitzw",6,0,0,1,0,0,0
13,300,904,"All Milwaukee Public Libraries will be closed Saturday, September 5 through Monday, September 7 for Labor Day. We wish everyone a safe and happy holiday weekend! ?#?LaborDay?",10,0,2,1,0,0,0
14,300,904,?#?BabyGotBooks?!,80,2,141,1,0,0,0
15,300,903,The Milwaukee Public Library is a proud partner of the 2015 Milwaukee Film Festival. Program books will be available at all branches beginning next week! ?#?MFF2015?,9,0,0,1,0,0,0
16,300,902,We love sharing exciting news. New mixed-use library to help reinvigorate Mitchell St. - http://on.jsonl.in/1PMejQM,6,2,0,1,0,0,0
17,300,901,"Join us tomorrow, Wednesday, Sept. 2 from 4-7 p.m. for the 1st Open House for the Mitchell Street Project. Milwaukee Public Library and HGA Architects and Engineers want to hear from members of the community with their ideas for the library＊s design, look",1,0,0,1,0,0,0
18,300,831,"Just a heads up if you're visiting Milwaukee Public Library - Villard Square Branch. The parking lot exit on 34th St. will be closed from 7 a.m., Tues., Sept. 1 until 12 noon Wed., Sept. 2 for personal vehicles and until 12 noon, Sept. 3 for delivery/garb",1,0,0,1,0,0,0
19,300,826,"Join us next week, September 2-3, as Milwaukee Public Library and HGA Architects and Engineers seek community input on new library on Mitchell Street to replace the Milwaukee Public Library - Forest Home Branch.",131,3,35,1,0,0,0
20,300,824,,17,0,1,1,0,0,0
21,300,821,"The Milwaukee Public Library (MPL) seeks public input on the plans for the replacement of the Milwaukee Public Library - Forest Home Branch, 1432 W. Forest Home Ave. A new branch library will be constructed inside the historic Hills Building at 906-910 W.",9,0,1,1,0,0,0
22,300,821,"The Milwaukee Public Library - Bay View Branch is currently without power. However, the library will remain open. You can still checkout materials with staff manually. We Energies estimates that power will be restored by 3 p.m. We apologize for the inconv",3,1,1,1,0,0,0
23,300,819,"The Milwaukee Public Library - Center Street Branch will be closed tomorrow, Thursday, August 20 for a special staff training. Regular hours will resume on Friday, August 21 from 10 a.m. to 6 p.m. Please consider using these alternative libraries on Augus",0,0,0,1,0,0,0
24,300,819,?#?ReadyReference? phone lines are down; but being repaired. Meantime chat/text us any questions: http://bit.ly/1fpiwx9,2,1,0,1,0,0,0
25,300,914,"ATTENTION TEACHERS! The Milwaukee Public Library is seeking energetic, enthusiastic teachers to provide after school homework help and academic support to students. Openings for fall 2015 are at Milwaukee Public Library - Bay View Branch, Milwaukee Public",2,0,0,1,0,0,0
26,300,806,"SAVE THE DATE - September 2 & 3, 2015 Open House - Milwaukee Public Library - Forest Home Branch/Mitchell Street Project The Hill Building, 9th & Mitchell Street Stop in to learn more about your new library.",7,0,0,1,0,0,0
27,300,803,"Celebrate ?#?BronzevilleWeek? at the ?#?MLKingLibrary? tomorrow, Aug. 4th with First Stage from 12:45 to 1:30 p.m. & from 2 to 2:45 p.m.",4,1,1,1,0,0,0
29,300,731,"The Wisconsin State Fair begins next week, Thursday, August 6. Children ages 6-12 can earn a free youth admission to the Wisconsin State Fair when they sign-up and complete Level 1 of the Super Reader Summer Reading Program. Teens ages 13-18 can earn a fr",6,1,0,1,0,0,0
30,300,720,"Our Super Reader Summer Reading Program is in full swing! There is still time to sign-up at any Milwaukee Public Library. If you complete Level 3 by Friday, July 31, you will be automatically entered into the grand prize drawing. One winner will be select",12,1,1,1,0,0,0
31,300,716,"Next Wednesday, July 22, lace up your walking shoes and walk with Mayor Tom Barrett! Meet at the Central Library and tour the Green Roof from 5-5:30 p.m. and see the NEWaukee Night Market hosted by Newaukee Milwaukee. To sign up, visit www.milwaukee.gov/w",4,0,1,1,0,0,0
32,300,716,"The BloodCenter of Wisconsin will be at Central Library next Thursday, July 23 from 11 a.m.-3 p.m. Save the day. Donate blood. All attempting donors will receive a ticket to the Wisconsin State Fair. Sign up at www.bcw.edu/MPL or call Emily at 414.286.304",4,1,0,1,0,0,0
33,300,715,"Max's Magical Mischief Saturday, July 25 from 10:30 a.m.-12 p.m. Central Library, 814 W. Wisconsin Ave. Learn to tame the Wild Things during a magic show sure to entertain all ages. Enjoy a morning rumpus of creative mischief, activities and treats dur",11,0,0,1,0,0,0
34,300,713,"We love reading and celebrating with all of you! ?#?readabookball? The party isn't over... if you missed the 'BALL', it's not too late to donate and show your support for the library, reading, and our WILD summer exhibit. Go to mpl.or",9,0,0,1,0,0,0
35,300,709,"Thank you Mayor Tom Barrett for visiting us today to preview the Maurice Sendak Memorial Exhibition at the Central Library. The exhibit officially opens tomorrow, Friday, July 10 and runs through August 23. For more information on the exhibit and free pro",33,5,2,1,0,0,0
36,300,702,"Chinchillas and Geckos and Drumming! Oh, My! It＊s been an exciting couple weeks at the East Branch Library as we continue to celebrate the Super Reader Program with weekly events for kids and families. Join us on＃",6,0,0,1,0,0,0
37,300,702,"Things are starting to get Wild! Join us next Saturday, July 11 at Central Library from 10 a.m.-1 p.m. for the Family Kick-Off Event. This opening day event will include a chance to meet a Wild Thing and Browser, the Library Lion; get your face painted; c",15,0,13,1,0,0,0
38,300,702,Making History with Misty! Misty Copeland has been with the American Ballet Theater for 14 years and has just been named the company's first black female principal dancer!,3,0,0,1,0,0,0
170,300,10,"One lucky attendee will win a copy of the book signed by none other than Brett Favre! Join us at 2 pm this Sunday, November 1, 2015 at Zablocki.",2,0,0,1,0,0,0
171,300,10,"We need your feedback! What＊s your vision of the public library of the future? As a public library user, what changes (if any) would you like to see in your public library in the next 5, 10, or even 20 years? On Thursday, Oct. 29, Milwaukee Public Librar",100,26,21,0,0,0,1
172,300,10,"The Milwaukee Public Library - Forest Home Branch will close at 6 p.m. today due to a safety precaution. We apologize for the inconvenience. For a list of MPL locations and hours, please visit http://www.mpl.org/.",1,0,0,0,0,0,0
173,300,10,"The Force is strong in the Johnson family! They won the Milwaukee Public Library - East Branch Star Wars Reads Day giveaway, a copy of Jeffrey Brown's Darth Vader and Friends. ?#?TheForceAwakens? Star Wars",24,2,0,1,0,0,0
174,300,10,There is no app to replace your lap!,108,2,59,1,0,0,0
175,300,10,"The Central Library welcomes the new Bublr Bikes station currently being installed across the street from Central Library on the corner of 8th and Wisconsin Ave. For more info on Bublr bikes, visit http://bublrbikes.com/",26,1,2,1,0,0,0
176,300,10,"Due to staff training, Story Time at the East and Zablocki libraries tomorrow, 10/8/2015, is canceled.",1,0,0,1,0,0,0
177,300,10,which book next? are you looking for a good book? join the which book next.,17,0,1,1,0,0,0
2782,258,10,"Did you know＃ The library has over 40 different magazines to choose from? (People, Time, Good Housekeeping, Food Network, Colorado Life, Consumer Reports, Western Horseman, Popular Science, and many more!) You can check them out for a week at a time＃",4,0,3,0,0,0,0
2783,258,10,"8th Annual LEGO Building Contest November 14 Wellington Public Library No kits and all entries must be original. Registration begins at 8:00 a.m. and ends at 3:00 p.m. Judging and prizes following. FREE! Categories: Ages 0-6, 7-10, 11-14, 15-18",5,0,1,0,0,0,0
2784,258,9,"Join us tomorrow, Tuesday, September 22, at 11:00 a.m., for a story and craft about AUTUMN LEAVES!",3,0,1,0,0,0,0
2785,258,9,It's Storytime today! Come in at 11:00 a.m. for a story and craft about the nighttime sky!,0,0,0,0,0,0,0
2786,258,9,"The library will be closed Saturday, September 5 - Monday, September 7, for Labor Day Weekend.....",0,0,1,0,0,0,0
2787,258,8,"Storytime is tomorrow, Tuesday, August 25, at 11:00 a.m. We have a guest reader and the theme is BIRTHDAYS!",5,0,1,0,0,0,0
2788,258,8,"THIS WEEK AT THE LIBRARY... 8/11 Preschool Storytime 11:00 a.m. 8/12 Last day to turn in your WMS Early Locker Choice book reports...(Locker Choice is Thursday, August 13. 8th grade: 7:30 a.m., 7th grade: 8:00 a.m., 6th grade: 8:30 a.m.) Pick up your Early Locker Pass this week at the library, or at the middle school on 8/13 from Kathy.",0,0,1,0,0,0,0
2789,258,8,"Parents: Bring your little superheroes into the library tomorrow, August 4, at 10:30 a.m. for SUPERHERO TRAINING CAMP! Don't forget to wear your cape.....",2,0,0,0,0,0,0
2790,258,7,,5,0,0,1,0,1,1
2791,258,7,"Starting today, come into the library for your second Summer Reading prize! Also, bring the kids in tomorrow, Tuesday, 7/28, at 10:30 a.m. to see Ann Lincoln - Comedy, Magic, Juggling and More! (There will not be Storytime this week....)",1,0,0,0,0,0,0
2792,258,7,"Come to the library today, Wednesday, 7/15, at 1:00 p.m. to see Skeeter the clown from the Culpepper & Merriweather Circus!!!!",0,0,0,0,0,0,0
2793,258,,"Bring the kids into the library tomorrow, Wednesday, 7/15, at 1:00 p.m. to see Skeeter the clown from the Culpepper & Merriweather Circus!!!!",0,0,0,0,0,0,0
2794,258,7,"Join us for Preschool Storytime tomorrow, Tuesday, July 14, at 11:00 a.m.!",2,0,2,0,0,0,0
2795,258,7,"Meet the REAL heroes this Thursday, 7/9, at 10:00, at the library! Bring your bike (and a helmet, of course!). Officer Remington, firefighters, and other real-life heroes will teach us about bike safety!",4,0,2,0,0,0,0
